,Titile,publish_date,views,Likes,comment_count
160,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2366,116,34
161,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5824,253,112
162,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8330,246,199
163,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22,1880,97,27
164,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20,29414,563,90
165,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17,371726,7987,440
166,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16,30582,1123,121
167,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13,3672,133,50
168,The Best Computer for Data Science Beginners,2020-07-10,39687,866,158
169,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08,6187,231,82
170,Critiquing MY OWN Data Science Resume,2020-07-06,12822,400,88
171,Where to Start Learning Data Science,2020-07-03,19163,786,125
172,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01,4237,198,35
173,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29,4654,176,52
174,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26,16828,554,79
175,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22,2443,82,40
176,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20,2392,139,49
177,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15,4440,168,46
178,Why You're Struggling to Learn Data Science,2020-06-12,15344,1003,159
179,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08,12293,365,70
180,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05,24507,694,145
181,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01,5735,154,53
182,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29,77821,2271,276
183,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25,21024,488,81
184,Different Data Science Roles Explained (by a Data Scientist),2020-05-22,57014,2013,178
185,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18,11307,179,53
186,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15,139350,4594,194
187,10000 Subscriber and 100th Video Special (Data Science),2020-05-13,3106,146,115
188,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11,4573,155,74
189,How I Would Learn Data Science (If I Had to Start Over),2020-05-08,1401133,48912,1987
190,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04,5628,198,42
191,What You Need to Know for a Data Science Internship,2020-05-01,22764,1218,60
192,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27,8416,348,53
193,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24,15006,454,101
194,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22,3207,85,24
195,5 Tips for Crushing the Work From Home Life,2020-04-20,5469,200,38
196,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17,22702,751,129
197,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15,30963,748,98
198,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13,46248,932,155
199,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10,75398,1936,214
200,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08,84404,1804,278
201,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06,135549,3597,624
202,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03,209945,5234,173
203,When Data Science Goes Wrong,2020-03-30,1826,106,30
204,How to ULTRALEARN Data Science,2020-03-27,62290,3811,168
205,Why Right NOW is a Great Time to Learn Data Science,2020-03-23,4500,267,50
206,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20,13817,475,45
207,The Secret Data Scientists Don't Want You to Know,2020-03-16,10956,1143,100
208,The 5 Stages of Learning Data Science,2020-03-13,17672,1296,70
209,Can You Learn Data Science Without a Computer?,2020-03-11,1958,134,14
210,The Best Free Data Science Courses Nobody is Talking About,2020-03-09,350057,21230,619
211,The Data Science Projects that Got Me a Job,2020-03-06,41636,1397,41
212,How to Integrate Data Science into Your Business,2020-03-02,3435,128,16
213,The Problem with Data Science,2020-02-28,3826,153,18
214,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24,1208,45,16
215,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21,139847,2587,96
216,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17,334076,17976,527
217,Data Science Advice for College Students,2020-02-14,69221,1964,195
218,Avoid These Data Science Resume Mistakes!,2020-02-10,28910,1248,62
219,Data Science Explained with ... Cooking?,2020-02-07,5516,316,48
220,The 4 Types of Sports Analytics Projects,2020-02-03,33561,1087,64
221,Data Science in Golf: PGA Merchandise Show 2020,2020-01-31,621,18,13
222,How I Learned Data Science,2020-01-27,94456,2682,208
223,What is Sports Analytics Really?,2020-01-20,22646,637,75
224,Data Science Certificate vs Bootcamp vs Masters Degree,2020-01-18,113064,3160,575
225,How To Learn Programming for Data Science [3 Steps],2020-01-13,30231,1981,96
226,Data Science Fundamentals: SQL Queries,2020-01-10,6847,221,35
227,Questions You Should Ask Your Data Science Interviewers,2020-01-06,3183,150,14
228,The 9 Books That Changed My Perspective in 2019,2020-01-03,3408,176,25
229,The Data Science Interview: What to Expect,2019-12-30,8722,382,32
230,5 Data Science Resolutions for 2020,2019-12-27,478,25,12
231,How to Scrape NBA Data Using the nba_api Python Module,2019-12-23,18501,640,95
232,Collision Course: Sports Betting + Data Science,2019-12-20,20210,537,27
233,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,101053,2919,204
234,5 Sports Analytics Books to Get You Started,2019-12-13,11611,434,60
235,Math Needed for Mastering Data Science,2019-12-09,58270,2905,218
236,The 5 Stages of Data Science Adoption,2019-12-06,1351,68,17
237,How YOU Can Land a Sports Analytics Job,2019-12-02,73124,3182,230
238,Data Science Fundamentals: Linear Regression,2019-11-29,6514,174,42
239,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1230,55,12
240,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,6761,283,26
241,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46786,1759,79
242,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5995,138,31
243,Why Selling Is An Important Data Science Skill,2019-11-04,1670,81,13
244,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,3022,72,18
245,Why is Balance Important in Data Science?,2019-10-16,722,32,13
246,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,12081,582,55
247,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,4292,119,35
248,6 Habits of Successful Data Scientists,2019-09-13,2281,98,17
249,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,5095,106,10
250,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,525,24,29
251,Is Data Science Right For You?,2019-08-18,52542,1195,109
252,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,15313,397,55
253,How To Get Data Science Experience (Without a Job),2019-08-08,29977,1390,77
254,Take Your Data Science Projects From Good to Great,2019-08-05,1644,110,11
255,The Projects You Should Do To Get A Data Science Job,2019-07-30,154523,5758,251
256,What Does a Data Scientist Actually Do?,2019-07-19,51627,1322,80
257,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,13359,360,44
258,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,18537,540,61
259,Data Science: Pros and Cons,2019-06-30,5613,228,18
260,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,26292,1243,89
261,My Top 5 Data Science Internship Tips,2019-06-15,12237,502,24
262,Golf STATS: Strokes Gained Explained,2019-06-07,8175,166,31
263,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,626,45,5
264,What I Learned From My Three Degrees,2019-05-17,1295,61,12
265,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25701,1065,66
266,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1271,40,2
267,Should You Learn R for Data Science?,2019-04-25,22169,573,72
268,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46696,849,329
269,Work From Home Data Scientist: Day in the Life,2019-04-12,28259,755,101
270,Where to Look for Data Science Jobs,2019-03-29,3036,117,9
271,Data Science: Startup vs. Large Corporation,2019-03-21,2320,76,4
272,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6340,173,26
273,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4287,181,15
274,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,826,33,12
275,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1486,34,8
276,Where YOU Should Start With Data Science Projects,2019-02-19,18259,357,20
277,Watch This Before Applying to Data Science Jobs,2019-02-04,1519,65,13
278,My Top 5 Data Science Resources for 2019,2019-01-05,3756,122,15
279,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,851,35,6
280,The Best Way to Predict NBA Minutes Played,2018-12-11,5283,126,15
281,Demystifying Data Science Roles,2018-11-30,1154,53,5
282,How to Simulate NBA Games in Python,2018-11-19,18649,409,50
283,Should You Get A Masters in Data Science?,2018-11-14,20788,304,135
284,How I Became A Data Scientist From a Business Background,2018-11-12,6564,197,23
285,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,9151,194,17
286,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19392,295,41
